datetime;open;high;low;close;volume
2002-06-26;44.0099983;47.25;43.21000;46.35000;9271407
2002-06-25;45.099998;46.95000;45.099998;46.099998;6612603
2002-06-24;45.099998;46.18000;43.060001;44.66000;7782853
2002-06-21;45.55000;46.38000;43.30000;44.96000;22362646
2002-06-20;47.099998;47.87000;45.24000;45.73000;7364983
2002-06-19;47.65000;48.38000;46.33000;47.099998;4922895
2002-06-18;48.80000;49.14000;46.82000;48.65000;4942815
2002-06-17;46.79000;48.69000;46.65000;48.44000;4588216
2002-06-14;48.11000;48.20000;45.20000;46.21000;8579952
2002-06-13;50.40000;50.55000;48.35000;48.75;5465407
2002-06-12;50.049999;51.099998;49.42000;50.099998;4931280
2002-06-11;49.51000;51.18000;48.90000;50.43000;4965448
2002-06-10;50.63000;50.75;48.5;49.31000;4432609
2002-06-07;50.58000;50.75;49.25;50.28000;5200837
2002-06-06;50.75;52;50.55000;51.48000;5114174
2002-06-05;50.5;51;50;50.5;4206853
2002-06-04;51.75;51.91000;49.5;50.080002;6486718
2002-06-03;52.90000;53.90000;51.77000;52.020000;3912555
2002-05-31;52.20000;53.35000;52.049999;52.54000;3563343
2002-05-30;53.55000;53.88000;51.78000;51.95000;4395594
2002-05-29;53.70000;54.33000;53.080002;53.72000;4231633
2002-05-28;54.96000;54.96000;54.96000;54.96000;0
2002-05-27;53.80000;55.049999;53.74000;54.96000;3470733
2002-05-24;54.049999;54.42000;53.40000;53.90000;3946176
2002-05-23;54.81000;55.25;53.37000;53.76000;5823282
2002-05-22;53.35000;55.32000;53.34000;54.65000;6806150
2002-05-21;53.18000;54.90000;52.77000;53.31000;5383828
2002-05-20;54.15000;54.58000;52.88000;53.28000;2084085
2002-05-17;53.049999;54.95000;52.82000;53.89000;8141076
2002-05-16;52.37000;53.17000;51.95000;52.47000;4540691
2002-05-15;53.30000;53.31000;52.070000;52.53000;4795355
2002-05-14;52.63000;53.57000;51.93000;52.83000;5138296
2002-05-13;52.75;52.94000;51.63000;52.48000;3073267
2002-05-10;52.75;53.080002;51.85000;52.34000;3749920
2002-05-09;52.65000;53.5;52.5;52.69000;2161899
2002-05-08;51.56000;53.080002;51.56000;52.75;4596131
2002-05-07;50.82000;51.63000;49.86000;51.29000;4735334
2002-05-06;51;51.60000;50.60000;51.54000;2632222
2002-05-03;51.90000;53.99000;51.21000;51.21000;5718423
2002-05-02;51.95000;52.55000;51.60000;52.14000;5299948
