datetime;open;high;low;close
2018-04-17;8071.66016;8285.95996;7881.72021;7902.08984
2018-04-16;8337.57031;8371.15039;7925.72998;8058.66992
2018-04-15;7999.33008;8338.41992;7999.33008;8329.11035
2018-04-14;7874.66992;8140.70996;7846.00000;7986.24023
2018-04-13;7901.08984;8183.95996;7758.93018;7895.95996
2018-04-12;6955.37988;7899.22998;6806.50977;7889.25000
2018-04-11;6843.47021;6968.31982;6817.58984;6968.31982
2018-04-10;6795.43994;6872.41016;6704.14990;6834.75977
2018-04-09;7044.31982;7178.10986;6661.99023;6770.72998
2018-04-08;6919.97998;7111.56006;6919.97998;7023.52002
2018-04-07;6630.50977;7050.54004;6630.50977;6911.08984
2018-04-06;6815.95996;6857.49023;6575.00000;6636.31982
2018-04-05;6848.64990;6933.81982;6644.79980;6811.47021
2018-04-04;7456.41016;7469.87988;6803.87988;6853.83984
2018-04-03;7102.25977;7530.93994;7072.49023;7456.10986
2018-04-02;6844.85986;7135.47021;6816.58008;7083.79980
2018-04-01;7003.06006;7060.95020;6526.87012;6844.22998
2018-03-31;6892.47998;7207.85010;6863.52002;6973.52979
2018-03-30;7171.45020;7276.66016;6683.93018;6890.52002
2018-03-29;7979.06982;7994.33008;7081.37988;7165.70020
2018-03-28;7836.83008;8122.89014;7809.16992;7954.47998
2018-03-27;8200.00000;8232.78027;7797.27979;7833.04004
2018-03-26;8498.46973;8530.08008;7921.43018;8209.40039
2018-03-25;8612.80957;8682.00977;8449.09961;8495.78027
2018-03-24;8901.95020;8996.17969;8665.70020;8668.12012
2018-03-23;8736.25000;8879.62012;8360.62012;8879.62012
2018-03-22;8939.44043;9100.70996;8564.90039;8728.46973
2018-03-21;8937.48047;9177.37012;8846.33008;8929.28027
2018-03-20;8619.66992;9051.01953;8389.88965;8913.46973
2018-03-19;8344.12012;8675.87012;8182.39990;8630.65039
2018-03-18;7890.52002;8245.50977;7397.99023;8223.67969
2018-03-17;8321.91016;8346.53027;7812.81982;7916.87988
2018-03-16;8322.91016;8585.15039;8005.31006;8338.34961
2018-03-15;8290.75977;8428.34961;7783.04980;8300.86035
2018-03-14;9214.65039;9355.84961;8068.58984;8269.80957
2018-03-13;9173.04004;9470.37988;8958.19043;9194.84961
2018-03-12;9602.92969;9937.50000;8956.42969;9205.12012
2018-03-11;8852.78027;9711.88965;8607.12012;9578.62988
2018-03-10;9350.58984;9531.32031;8828.46973;8866.00000
2018-03-09;9414.69043;9466.34961;8513.03027;9337.54980
2018-03-08;9951.44043;10147.40039;9335.87012;9395.00977
2018-03-07;10803.90039;10929.50000;9692.12012;9965.57031
2018-03-06;11500.09961;11500.09961;10694.29980;10779.90039
2018-03-05;11532.40039;11704.09961;11443.90039;11573.29980
2018-03-04;11497.40039;11512.59961;11136.09961;11512.59961
2018-03-03;11101.90039;11528.20020;11002.40039;11489.70020
2018-03-02;10977.40039;11189.00000;10850.09961;11086.40039
2018-03-01;10385.00000;11052.29980;10352.70020;10951.00000
2018-02-28;10687.20020;11089.79980;10393.09961;10397.90039
2018-02-27;10393.90039;10878.50000;10246.09961;10725.59961
2018-02-26;9669.42969;10475.00000;9501.73047;10366.70020
2018-02-25;9796.41992;9923.21973;9407.05957;9664.73047
2018-02-24;10287.70020;10597.20020;9546.96973;9813.07031
2018-02-23;9937.07031;10487.29980;9734.55957;10301.09961
2018-02-22;10660.40039;11039.09961;9939.08984;10005.00000
2018-02-21;11372.20020;11418.50000;10479.09961;10690.40039
2018-02-20;11231.79980;11958.50000;11231.79980;11403.70020
2018-02-19;10552.59961;11273.79980;10513.20020;11225.29980
2018-02-18;11123.40039;11349.79980;10326.00000;10551.79980
2018-02-17;10207.50000;11139.50000;10149.40039;11112.70020
2018-02-16;10135.70020;10324.09961;9824.82031;10233.90039
2018-02-15;9488.32031;10234.79980;9395.58008;10166.40039
2018-02-14;8599.91992;9518.54004;8599.91992;9494.62988
2018-02-13;8926.71973;8958.46973;8455.41016;8598.30957
2018-02-12;8141.43018;8985.91992;8141.43018;8926.57031
