date,DayAvgPrice,IntradayStd,Volume,day_of_week,day_of_year,Log_Profit,DayAvgPrice_diff,real_time,imag_time,c_week_real,c_week_imag,c_month_real,c_month_imag,c_quarter_real,c_quarter_imag,c_year_real,c_year_imag,Target,POLY_1,POLY_2,POLY_3,lambda_C3,lambda_C2,lambda_C1,lambda_T5,lambda_T4,lambda_T3,lambda_T2,lambda_T1,lambda_T_sum,pred,signal,cum_return,return,delta_DAP,delta_Target
2022-11-20,61.87277772222222,0.0,0.0,6,0.8849315068493151,0.49116463444457775,0.0,96.17,0.1,-0.9009688679028627,-0.43388373911663713,-0.5987517691337342,-0.8009346533639455,0.1417885045418742,0.9898969744270254,0.9384608438697183,0.3453856460875816,61.87277772222222,0.0075225554319048055,0.018903134463586532,0.0056681174342183335,0.00030762225590116226,0.10111793230032333,6.144672955994861,2.5890874556737784,4.034821973676713,0.0911423044777265,0.3977851846065827,0.5110725109156908,111.81987253525327,61.116226,sell,-0.061872777722222216,-0.061872777722222216,-0.7565515259331548,-0.7565515259331548
2022-11-21,62.032222202777774,0.1955082982043937,0.021965899877703,0,0.8876712328767123,0.4842814651934521,0.15944448055555682,96.18,3.0,-0.22252093395645897,-0.9749279121817906,-0.4218906198508298,-0.9066467365417926,0.07339031898019964,0.9973032944295254,0.9323808137991028,0.36147754848582614,62.032222202777774,0.048526275395138034,0.02063035393931635,0.02762599358292441,0.0003068901444398294,0.10077970711406085,5.822499020726357,3.8211762810649557,6.6236274353292774,0.13656305133020644,0.3921279361573865,0.471309012512407,103.10773742076066,61.320877,sell,-0.061872777722222216,0.0,-0.7113451275824616,-0.7113451275824616
2022-11-22,62.28527777777778,0.2334399416321187,0.025448454838208418,1,0.8904109589041096,0.48027654218512406,0.25305557500000475,96.19,4.0,0.6234898018578787,-0.7818314824687115,-0.22711814199622055,-0.9738672135235813,0.004644764902667106,0.99998921302132,0.9260248772451396,0.3774624838618061,62.28527777777778,0.05651115497169184,0.021445913852964314,0.03115323593206011,0.00029867678187583485,0.10086342485483724,5.672188487353443,4.662551666581974,7.931882816649774,0.18839632386561558,0.37465194083771014,0.4369517352966743,95.86772914774511,61.579197,sell,-0.061872777722222216,0.0,-0.7060808478461382,-0.7060808478461382
2022-11-23,61.678055666666666,0.3385163893247811,0.025166411041448997,2,0.8931506849315068,0.5173660862200266,-0.6072221111111133,96.2,4.5,1.0,-2.1941709164646403e-13,-0.02270338371474044,-0.9997422449651217,-0.0641227736151137,0.9979420173055672,0.9193949150316925,0.3933357220160242,61.678055666666666,0.07845646192694375,0.02378948930860681,0.03074957886923487,0.00020133115286998107,0.10088406360883118,5.256181611016652,3.627094283169322,8.968255095490331,0.2254174570183162,0.38088423291051937,0.39369831007116424,83.03454239852462,61.097343,sell,-0.061872777722222216,0.0,-0.5807122218424468,-0.5807122218424468
2022-11-24,62.35666661111111,0.17381445169807308,0.018843669196045146,3,0.8958904109589041,0.46189957133578063,0.6786109444444435,96.21,5.0,0.6234898018582218,0.7818314824684379,0.18267524469392368,-0.9831733087182621,-0.13258680844188256,0.9911713969981153,0.912492889071223,0.40909256580198666,62.35666661111111,0.04402192591030947,0.020423545923477907,0.024574937499589423,0.00018779807998127646,0.10061768298578581,4.278738981257506,2.9836951102806726,9.307625896688075,0.24782656361711328,0.36872842549753143,0.38344501088535526,65.5279273399698,61.672737,sell,-0.061872777722222216,0.0,-0.6839294895290777,-0.6839294895290777
2022-11-25,62.35638880277778,0.21323580664051273,0.02013742645763264,4,0.8986301369863013,0.49117654963261004,-0.0002778083333296877,96.22,7.0,-0.22252093395603115,0.9749279121818882,0.38029841190994795,-0.9248638374911042,-0.2004232879791966,0.9797093985644968,0.9053208417843014,0.4247283525160098,62.35638880277778,0.05228540129712613,0.021085287729722214,0.02586627807659773,0.00018397895630040852,0.09407171209693577,3.761818871652506,4.223484083723946,8.659774048831776,0.18753591619719254,0.39629473319578157,0.416169350607026,54.335965428214976,61.637215,sell,-0.061872777722222216,0.0,-0.719174142133248,-0.719174142133248
2022-11-26,62.35638880277778,0.0,0.0,5,0.9013698630136987,0.49116463444457775,0.0,96.23,0.5,-0.9009688679026723,0.4338837391170325,0.5617760440263654,-0.8272893546747034,-0.2673111309516867,0.963610273538701,0.8978808954950722,0.4402384552773272,62.35638880277778,0.007586869119327452,0.019112914901269575,0.005765592543244272,0.00018623736954368242,0.09060525156561683,3.184832515915586,3.880261624527322,6.435126823405718,0.1817599133409456,0.391762856161377,0.4264772304976774,44.82933170913094,61.659897,sell,-0.061872777722222216,0.0,-0.6964919521918418,-0.6964919521918418
2022-11-27,62.35638880277778,0.0,0.0,6,0.904109589041096,0.49116463444457775,0.0,96.24,0.1,-0.900968867902576,-0.43388373911723227,0.7194035243849444,-0.6945923762196939,-0.3329337461377156,0.9429502217416925,0.8901752518033642,0.45561828439694685,62.35638880277778,0.007586869119327452,0.019112914901269575,0.005765592543244272,0.00018811724196473396,0.08286692086100522,2.545302853102327,2.3478985445706257,7.084528855520851,0.22523413581921337,0.375726538582092,0.39903932559869465,34.61367813419188,61.6417,sell,-0.061872777722222216,0.0,-0.714688058148873,-0.714688058148873
2022-11-28,61.57055561111112,0.17629447172845997,0.028696688488543027,0,0.9068493150684932,0.5250832406970027,-0.7858331916666614,96.25,3.0,-0.22252093395758837,-0.9749279121815329,0.8464887923907854,-0.5324065404902438,-0.3969805308478781,0.9178270306151028,0.8822061909330922,0.4708632887360456,61.57055561111112,0.044437118537900076,0.020120211364700123,0.03425191894613432,0.0001889879744522171,0.08414800574507166,2.3117957647197342,4.334314255159395,5.48073177439387,0.220313455557277,0.38391995435616116,0.39576659008656184,27.691963212816276,60.972786,sell,-0.061872777722222216,0.0,-0.5977696614040866,-0.5977696614040866
2022-11-29,62.20027788888889,0.33452295159378265,0.03415132319371363,1,0.9095890410958904,0.46395002913667205,0.6297222777777733,96.26,4.0,0.6234898018583952,-0.7818314824682997,0.9376364543448982,-0.34761743265194234,-0.4591483410593132,0.8883596123769252,0.8739760710575899,0.4859689570525453,62.20027788888889,0.07768890345420937,0.023899429850651757,0.03982305815705387,0.00018040564517056218,0.0820924794545659,2.1247273559064777,4.202240405091538,4.417199515443975,0.225639152722183,0.37606481619146226,0.3982960310863548,21.702988341578813,61.638985,sell,-0.061872777722222216,0.0,-0.56129320871311,-0.56129320871311
