date,DayAvgPrice,IntradayStd,Volume,day_of_week,day_of_year,Log_Profit,DayAvgPrice_diff,real_time,imag_time,c_week_real,c_week_imag,c_month_real,c_month_imag,c_quarter_real,c_quarter_imag,c_year_real,c_year_imag,Target,POLY_1,POLY_2,POLY_3,lambda_C3,lambda_C2,lambda_C1,lambda_T5,lambda_T4,lambda_T3,lambda_T2,lambda_T1,lambda_T_sum,pred,signal,cum_return,return
2023-06-09,72.99527775,0.21896489038883388,0.061963861594386174,4,0.43561643835616437,0.5015661188035794,-0.28444436111111315,98.18,7.0,-0.22252093395632927,0.9749279121818202,-0.0061923243941285275,0.9999808273755042,-0.901182017816612,0.433440850363668,-0.7846008652433895,-0.6200011953692707,72.99527775,0.05484282979020525,0.025807625366879347,0.06995272840479012,0.0005037803622793731,0.019012636595826783,0.7350919490505963,0.8264670429973108,1.097941656527567,0.11075972533806618,0.3500170316224667,0.539223243039467,11.55167323471686,72.50568,sell,-0.07299527775,-0.07299527775
2023-06-10,72.99527775,0.0,0.0,5,0.4383561643835617,0.49116463444457775,0.0,98.19,0.5,-0.9009688679020157,0.43388373911839584,-0.2110064678002657,0.977484665120868,-0.9288515134311016,0.3704522452310851,-0.7738197799123082,-0.6334058321617088,72.99527775,0.00894336593818098,0.023727843858740306,0.008101920459621463,0.0005045059327757391,0.018936375867878982,0.8572235687452997,0.6108590784276866,1.3208483265723914,0.08899832317613308,0.3395784917938823,0.5714231850299846,14.865955754609454,72.74629,hold,-0.07299527775,0.0
2023-06-11,72.99527775,0.0,0.0,6,0.4410958904109589,0.49116463444457775,0.0,98.2,0.1,-0.9009688679024433,-0.43388373911750777,-0.406862350468236,0.9134894787415246,-0.9521246012338193,0.30571022836231826,-0.762809708858806,-0.6466230339778685,73.3425,0.00894336593818098,0.023727843858740306,0.008101920459621463,0.0005049508303293967,0.01834061617820106,0.9661535043524528,0.6288081528835445,1.1736299982170155,0.08065220390842753,0.328394817833652,0.5909529782579205,18.235880470536003,72.73045,hold,-0.07299527775,0.0
2023-06-12,73.3425,0.20867438750359651,0.030882300353887594,0,0.4438356164383562,0.4784729444071511,0.3472222500000015,98.21,3.0,-0.22252093395551686,-0.9749279121820056,-0.5854449283980407,0.8107121781575832,-0.970891125851661,0.23952123442921308,-0.7515739101400061,-0.6596488896351316,73.92833319444445,0.0527282774540411,0.02576735327266038,0.03901031575319991,0.0004957821637129288,0.018512969333669128,1.11582839451585,0.9032441069601524,1.0304657771955608,0.06200286071615143,0.31733532790719887,0.6206618113766498,22.075953437686692,73.291565,hold,-0.07299527775,0.0
2023-06-13,73.92833319444445,0.3013919082899761,0.046237774363662255,1,0.4465753424657534,0.4698868172414677,0.5858331944444473,98.22,4.0,0.6234898018586342,-0.781831482468109,-0.7391724941989102,0.673516164482904,-0.9850622622202818,0.17219854688545097,-0.740115708609534,-0.6724795445732215,75.4361111111111,0.0722352967044559,0.028072907803745335,0.054477753119551886,0.000496979159064961,0.019468319796111244,1.34827006025377,0.8992163414228881,0.9952502746429831,0.06500769187462259,0.2996220636189454,0.635370244506432,27.568983149447412,73.63975,hold,-0.07299527775,0.0
2023-06-14,75.4361111111111,0.3009914832945803,0.05451910492380331,2,0.4493150684931507,0.43716728355973233,1.5077779166666545,98.23,4.5,1.0,-1.0720658986360379e-12,-0.8615185577998373,0.5077260822200178,-0.9945709360078981,0.10406081514371043,-0.7284384949335869,-0.6851112019948955,74.89583313888889,0.07233422741612826,0.028716487372425846,0.06310936588193677,0.0004963946144853113,0.019795213657330692,1.7880022572496101,1.9221352030712002,2.2116543203978063,0.09416418209641197,0.2854932226863417,0.6203425952172462,35.59289437793672,75.2,hold,-0.07299527775,0.0
2023-06-15,74.89583313888889,0.18549339469859472,0.03990880713938802,3,0.452054794520548,0.5103882648196756,-0.5402779722222135,98.24,5.0,0.6234898018588885,0.7818314824679062,-0.9472889280014235,0.3203805344990765,-0.9993721410890527,0.03543054635597076,-0.7165457245875212,-0.6975401239895409,75.37888883333333,0.0480581804966718,0.026044804138952028,0.048393946863432985,0.0004891598902673392,0.019595047495078666,1.976598234695186,1.4099185254388027,2.935024522057542,0.07883513544445087,0.29712342608324094,0.6240414384723082,39.77680212454388,74.298706,sell,-0.07299527775,0.0
2023-06-16,75.37888883333333,0.26590850580684255,0.14665393200130813,4,0.4547945205479452,0.4739704999516446,0.4830556944444453,98.25,7.0,-0.22252093395519987,0.974927912182078,-0.9928422313998816,0.11943325981025507,-0.9994431525661532,-0.033367421066498815,-0.7044409168334377,-0.7097626326391562,75.37888883333333,0.06497322015327324,0.02782894201828278,0.15506209030834292,0.0007797114850902313,0.018080208848739884,2.298291753423594,1.75884056996535,1.9435819696477792,0.04986554835075698,0.306698490899132,0.6434359607501111,45.86822845791803,75.15944,hold,-0.07299527775,0.0
2023-06-17,75.37888883333333,0.0,0.0,5,0.4575342465753425,0.49116463444457775,0.0,98.26,0.5,-0.9009688679023024,0.4338837391178007,-0.996244506569373,-0.08658454325309113,-0.9947836343301361,-0.10200745496740042,-0.6921276536786983,-0.7217751111067905,75.37888883333333,0.009233426305257522,0.024761804817106665,0.00867572978754349,0.0007762833955497014,0.018967680682908352,2.5158604838480576,1.8369220105635846,2.8902976300999352,0.05621418595128458,0.3078570354608118,0.6359287785879036,52.13718175342025,74.93344,hold,-0.07299527775,0.0
2023-06-18,75.37888883333333,0.0,0.0,6,0.4602739726027397,0.49116463444457775,0.0,98.27,0.1,-0.900968867902946,-0.43388373911646405,-0.957351310221552,-0.2889264072684907,-0.9854156406513253,-0.17016467071556945,-0.6796095788159929,-0.7335740047067839,75.42833333333334,0.009233426305257522,0.024761804817106665,0.00867572978754349,0.0007699835145706406,0.01821589929053354,2.6325739857781576,1.0702382179532086,3.1660550769058426,0.062471009628061624,0.3110271923152391,0.6265017980566993,56.62561920264038,75.05086,hold,-0.07299527775,0.0
