datetime;open;high;low;close;volume
2020-12-29 17:00:00;48.52000;48.66500;48.49000;48.61500;158531
2020-12-29 16:00:00;48.54000;48.66500;48.41500;48.52000;208075
2020-12-29 15:00:00;48.63500;48.70500;48.53500;48.54500;205958
2020-12-29 14:00:00;48.57500;48.64000;48.48500;48.64000;97146
2020-12-29 13:00:00;48.40500;48.61500;48.38000;48.58000;149656
2020-12-29 12:00:00;48.57500;48.59500;48.34000;48.44500;147216
2020-12-29 11:00:00;48.67000;48.67500;48.53500;48.57500;135592
2020-12-29 10:00:00;48.66500;48.81000;48.5;48.67500;211818
2020-12-29 09:00:00;48.92000;49.020000;48.54000;48.65500;359982
2020-12-28 17:00:00;48.61000;48.63500;48.52500;48.63500;117375
2020-12-28 16:00:00;48.85500;48.91500;48.58500;48.59500;184570
2020-12-28 15:00:00;48.75;48.86500;48.67500;48.85500;128999
2020-12-28 14:00:00;48.82500;48.90000;48.60000;48.73500;130605
2020-12-28 13:00:00;48.95000;48.99000;48.80500;48.82500;119647
2020-12-28 12:00:00;49.020000;49.070000;48.91500;48.95500;154762
2020-12-28 11:00:00;49.14500;49.14500;48.90500;49.014999;190205
2020-12-28 10:00:00;49.28500;49.34000;49.11000;49.15500;178471
2020-12-28 09:00:00;49.099998;49.36500;49.044998;49.28500;323386
2020-12-23 17:00:00;48.17000;48.28500;48.125;48.24500;136209
2020-12-23 16:00:00;48.51000;48.57000;48.125;48.18000;257688
2020-12-23 15:00:00;48.74000;48.78000;48.50500;48.51000;188473
2020-12-23 14:00:00;48.56500;48.73000;48.45500;48.72500;104530
2020-12-23 13:00:00;48.51500;48.61500;48.49500;48.57500;57883
2020-12-23 12:00:00;48.63000;48.64000;48.47000;48.57000;64224
2020-12-23 11:00:00;48.37000;48.68000;48.36000;48.64500;103542
2020-12-23 10:00:00;48.50500;48.50500;48.30500;48.37000;122732
2020-12-23 09:00:00;48.45000;48.63500;48.25;48.5;156465
2020-12-22 17:00:00;48.19000;48.35500;48.18500;48.32000;175124
2020-12-22 16:00:00;48.040001;48.27500;47.96500;48.18500;202612
2020-12-22 15:00:00;48.26500;48.30500;47.89000;48.040001;197980
2020-12-22 14:00:00;48.45500;48.46500;48.27000;48.27000;158915
2020-12-22 13:00:00;48.26500;48.47500;48.20500;48.45500;90179
2020-12-22 12:00:00;48.15500;48.35000;48.12000;48.25;117540
2020-12-22 11:00:00;48.040001;48.21500;47.95000;48.15000;964706
2020-12-22 10:00:00;48.18000;48.27000;48.020000;48.020000;186875
2020-12-22 09:00:00;47.15000;48.21000;47.080002;48.18000;417778
2020-12-21 17:00:00;46.92500;47.084999;46.89000;46.95500;208913
2020-12-21 16:00:00;46.81000;47.049999;46.62000;46.92000;483365
2020-12-21 15:00:00;47.24000;47.29000;46.80000;46.82000;476120
2020-12-21 14:00:00;47.25500;47.50500;47.084999;47.23000;319508
2020-12-21 13:00:00;47.40500;47.67000;47.25500;47.26000;251102
2020-12-21 12:00:00;46.96000;47.55500;46.92000;47.35000;329492
2020-12-21 11:00:00;47.21000;47.375;46.78000;46.97500;684509
2020-12-21 10:00:00;47.59500;47.62000;47.18500;47.26000;1387956
2020-12-21 09:00:00;48.41000;48.5;47.45500;47.61000;624618
2020-12-18 17:00:00;49.27500;49.32000;49.0099983;49.055000;216904
2020-12-18 16:00:00;49.61000;49.62000;49.25500;49.27000;230156
2020-12-18 15:00:00;49.625;49.73000;49.36500;49.61000;323562
2020-12-18 14:00:00;49.64500;49.86500;49.61000;49.625;263219
2020-12-18 13:00:00;49.87000;50.14000;49.60000;49.65000;1772451
2020-12-18 12:00:00;49.71000;49.98500;49.68500;49.86500;348372
2020-12-18 11:00:00;49.70000;49.77500;49.48000;49.72500;1095499
2020-12-18 10:00:00;49.71000;49.89500;49.59500;49.70000;301934
2020-12-18 09:00:00;49.099998;49.78500;48.90500;49.70000;335215
2020-12-17 17:00:00;49.22500;49.37000;49.17000;49.22000;249689
2020-12-17 16:00:00;49.28500;49.35000;49.11500;49.21500;472170
2020-12-17 15:00:00;49.35500;49.42000;49.22500;49.29500;257729
2020-12-17 14:00:00;49.51000;49.53000;49.26500;49.35000;192124
2020-12-17 13:00:00;49.19000;49.56000;49.16500;49.51500;182164
2020-12-17 12:00:00;49.33000;49.33500;49.125;49.23000;138374
2020-12-17 11:00:00;49.15000;49.35000;49.11000;49.33000;220485
2020-12-17 10:00:00;49.21000;49.42000;49.13000;49.15000;222414
2020-12-17 09:00:00;49.80000;49.95000;49.18500;49.20500;450237
2020-12-16 17:00:00;49.45500;49.55000;49.16500;49.22000;337448
2020-12-16 16:00:00;48.96000;49.45500;48.94000;49.45500;570013
2020-12-16 15:00:00;48.81500;48.99000;48.81500;48.96000;276568
2020-12-16 14:00:00;48.45500;48.93000;48.41500;48.82000;294030
2020-12-16 13:00:00;48.51000;48.58000;48.45000;48.46500;164873
2020-12-16 12:00:00;48.61000;48.77000;48.54000;48.55500;234584
2020-12-16 11:00:00;48.22000;48.68000;48.21500;48.625;360606
2020-12-16 10:00:00;48.30000;48.30000;48.11500;48.22000;318028
2020-12-16 09:00:00;47.27000;48.33000;47.15000;48.29500;561296
2020-12-15 17:00:00;47.15000;47.23500;47.14000;47.22500;160268
2020-12-15 16:00:00;47.21000;47.25;47.14500;47.15500;157381
2020-12-15 15:00:00;47.42000;47.48500;47.19000;47.20500;211312
2020-12-15 14:00:00;47.30000;47.47000;47.27500;47.42500;148106
2020-12-15 13:00:00;47.25500;47.375;47.24500;47.30500;111559
