date,time_shift,window_size,lr_lambda,epochs,dropout,n_res_blocks,PL10_mean_mean,PL10_mean_std,PL10_std_mean,PL10_std_std,0.0030_mean,0.0020_mean,0.0010_mean,0.0009_mean,0.0008_mean,0.0007_mean,0.0006_mean,0.0005_mean,0.0004_mean,0.0003_mean,0.0030_std,0.0020_std,0.0010_std,0.0009_std,0.0008_std,0.0007_std,0.0006_std,0.0005_std,0.0004_std,0.0003_std
2025-11-11,3,50,_cos,64,0.4,2,36.0658,0.5901,0.1011,0.0355,37.4658,35.7302,35.6559,35.985,36.3132,35.6608,36.2174,36.0467,36.2851,35.2974,0.1523,0.11,0.1231,0.065,0.1557,0.0533,0.0653,0.0926,0.0876,0.106
2025-11-12,1,21,cos,64,0.4,2,36.8356,0.2222,0.0177,0.0115,36.5582,36.5673,36.6765,36.7727,36.6858,36.932,36.8448,37.0639,37.2044,37.0501,0.0242,0.0138,0.0453,0.0081,0.023,0.0085,0.0208,0.0079,0.0152,0.0101
2025-11-12,1,100,cos,64,0.4,2,36.5006,0.2119,0.0157,0.0088,36.528,36.2985,36.4604,36.2603,36.5788,36.4379,36.7048,36.6045,36.2259,36.9071,0.022,0.0328,0.0128,0.0114,0.0093,0.0247,0.003,0.0176,0.0089,0.0148
2025-11-12,2,21,cos,64,0.4,2,36.6424,0.255,0.0369,0.0115,36.4319,36.3303,36.383,36.8548,36.758,36.6907,36.6623,37.0027,36.9593,36.3512,0.0305,0.0271,0.045,0.0486,0.0504,0.0256,0.0393,0.0193,0.0325,0.051
2025-11-13,1,21,cos,64,0.4,2,35.6088,0.1408,0.0138,0.0094,35.8735,35.6273,35.4106,35.6164,35.5813,35.8044,35.5934,35.462,35.598,35.5212,0.0309,0.0315,0.0111,0.0111,0.0099,0.0111,0.01,0.0062,0.0108,0.0057
2025-11-13,1,128,cos,64,0.4,2,35.0382,0.3534,0.0224,0.0069,35.8008,35.3342,34.9129,35.2834,34.9831,35.0062,34.9329,34.7155,34.5654,34.848,0.0236,0.0117,0.0273,0.0172,0.0299,0.0318,0.0171,0.029,0.0198,0.0161
2025-11-13,1,21,cos,64,0.4,2,36.1571,0.3045,0.0135,0.0046,35.8405,36.5209,36.6719,35.8548,35.7488,36.3303,36.2801,36.0733,36.2363,36.0139,0.0205,0.0157,0.0219,0.0098,0.0129,0.0092,0.0124,0.0083,0.0112,0.0132
2025-11-13,1,21,cos,64,0.4,2,36.1276,0.2124,0.0196,0.0084,36.4712,36.2225,35.9032,35.9038,35.8451,36.086,36.3342,36.1656,36.3281,36.0159,0.0312,0.0262,0.0103,0.0229,0.0122,0.032,0.0176,0.0177,0.0184,0.008
2025-11-13,1,21,cos,64,0.4,2,35.7045,0.1658,0.0108,0.005,35.9445,35.7613,35.7849,35.404,35.522,35.7389,35.6312,35.9214,35.6775,35.6592,0.0193,0.0196,0.0139,0.0079,0.0076,0.0077,0.0069,0.0093,0.0097,0.0065
2025-11-14,1,60,cos,64,0.4,2,34.6451,0.2597,0.0147,0.0049,34.7826,34.7688,34.6555,34.877,34.8246,34.8829,34.3052,34.722,34.1011,34.5315,0.0164,0.0144,0.0194,0.024,0.0114,0.015,0.0178,0.0098,0.0097,0.0091
2025-11-14,1,128,cos,64,0.4,2,34.9762,0.1753,0.0199,0.0083,35.0502,35.2669,35.1015,35.1433,34.8681,35.052,34.9108,34.8891,34.7084,34.7714,0.0161,0.0244,0.0327,0.0221,0.0253,0.0275,0.0196,0.0108,0.0157,0.005
2025-11-14,1,21,cos,64,0.3,2,35.2545,0.0668,0.026,0.0036,35.16,35.251,35.2743,35.2611,35.1194,35.3374,35.251,35.3081,35.2864,35.2967,0.0296,0.0296,0.0241,0.0268,0.0265,0.0287,0.0297,0.0239,0.0196,0.0216
